upc,cedis,cluster,date,on_hand,stores_reporting,stockout_store_share,daily_mean_7d,demand_7d_p50,demand_7d_p90,cover_days,cover_threshold,p_stockout_7d,alert_cover,alert_prob,alert_iforest,iforest_score,severity
750101310534,CMTY,A-Y,2026-04-02,132118.0,480,0.0125,5700.039495080998,39900.27646556698,51594.78116635183,23.178435888736345,14,1.1889635942452514e-09,False,False,False,0.36045955046465833,none
750101310533,CMTY,A-Y,2026-04-02,120624.0,481,0.016632016632016633,4704.855417041161,32933.98791928813,43448.19666932501,25.638194866327964,14,9.586729188271192e-10,False,False,False,0.36522467686410903,none
750101310581,TLJ,B-Y,2026-04-02,2845.0,92,0.0,164.31556862380856,1150.20898036666,1395.0676072806184,17.3142449241281,14,9.078834350972897e-10,False,False,False,0.4968843617135134,none
750101310341,CMTY,A-Z,2026-04-02,84368.0,423,0.04491725768321513,2887.833068875203,20214.83148212642,27332.52185289506,29.214985072825186,21,6.400262542172186e-10,False,False,False,0.34899760271111246,none
750101310326,CMTY,A-Y,2026-04-02,9575.0,169,0.08284023668639054,488.4315341954308,3419.0207393680157,4243.992401574604,19.60356637450206,14,5.118305779205912e-10,False,False,False,0.3556679062309459,none
750101310326,TLJ,A-Y,2026-04-02,10479.0,174,0.07471264367816093,446.5755794403817,3126.029056082672,4027.94716213729,23.465232946977473,14,4.820028820518019e-10,False,False,False,0.40806000896995337,none
750101310340,VHSA,A-Z,2026-04-02,89797.0,410,0.05121951219512195,1330.8337152155634,9315.836006508944,14894.460399909402,67.4742448837457,21,3.049898111839866e-10,False,False,False,0.35342397852915575,none
750101310119,CMD2,A-Z,2026-04-02,4019.0,193,0.04145077720207254,8.047515980967294,56.33261186677106,135.33866313672596,499.408762841242,21,2.1936252814214185e-10,False,False,False,0.4502614469561459,none
750101310342,VHSA,A-Z,2026-04-02,65528.0,404,0.03712871287128713,1055.4141736351448,7387.899215446014,11556.987058693077,62.08747393859895,21,2.0342560969055512e-10,False,False,False,0.4544092429577844,none
750101310449,CMTY,A-Z,2026-04-02,1695.0,65,0.06153846153846154,40.639448826529026,284.4761417857032,407.49952971041193,41.708242826697024,21,9.803713396649982e-11,False,False,False,0.36714907060326224,none
