upc,cedis,h,target_week,q05,q10,q50,q90,q95,model,origin,n_weeks_at_origin,origin_label,cluster,is_discontinued,is_high_promo,is_cold_start
750101310315,CMD2,6,2026-05-11,13509.992838418042,14147.9457975664,20927.543248273767,36293.55311908317,38741.62681750304,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMD2,7,2026-05-18,15404.999261919864,17896.845027577005,20243.3154431126,26331.05450237783,31715.88782289562,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMD2,8,2026-05-25,14635.568516575382,16128.965188720002,20831.50791758741,27976.326132883427,34600.41229610526,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMTY,1,2026-04-06,13569.306619766074,14792.895667256687,20205.839723314548,25556.875776122186,27889.492879736204,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMTY,2,2026-04-13,9916.520994652914,14925.06665590958,19380.56457060756,26133.163546181015,40258.67761252285,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMTY,3,2026-04-20,11386.161494572862,15305.25156224788,22515.91558642379,26860.63875039307,41076.44620241962,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMTY,4,2026-04-27,10812.573561946549,14573.226170073322,20818.52393356292,28924.22483361612,42272.995944347174,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMTY,5,2026-05-04,10246.758291697024,10740.180141104105,16553.849508036867,27096.71318723398,28829.209254617836,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMTY,6,2026-05-11,9944.693432091253,10158.824641689527,15816.303494737902,27728.889648684257,29364.723893773174,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMTY,7,2026-05-18,11528.8002941367,13222.2294618646,14931.415828500945,19290.360361904768,23243.940047181313,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,CMTY,8,2026-05-25,10596.460635820047,11414.214611902264,14870.394200068413,19891.58467325721,24126.28294433826,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,MXLI,1,2026-04-06,3018.680606002603,3081.81574714339,4482.94266075658,5792.6808011683515,5906.017325661329,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,MXLI,2,2026-04-13,2202.943175846288,2913.2574252517443,4212.815905765487,6019.614590720558,8453.707738080184,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,MXLI,3,2026-04-20,2341.406155254345,2974.970693322264,4657.686621851062,6086.683393651306,8675.355826499806,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,MXLI,4,2026-04-27,2278.255168743265,2846.771591618983,4533.035019607464,6589.166442321448,9080.373799378034,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,MXLI,5,2026-05-04,1530.2692954169731,2298.9473830811726,3731.634057566311,6003.440812713325,8551.329156608597,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,MXLI,6,2026-05-11,1507.154217280746,2078.000158615257,3749.491286039993,6355.096607403537,8618.898502656597,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,MXLI,7,2026-05-18,1710.3732650918503,2567.1981125017965,3586.1218205880236,4928.319444957338,7857.808488040364,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,MXLI,8,2026-05-25,2233.420306365625,2547.413272592643,3325.2812937511485,4837.637915412108,5412.6115277100525,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,TLJ,1,2026-04-06,9956.370635909872,11326.492447811666,14859.244507040783,18304.757909178545,20499.548033490468,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,TLJ,2,2026-04-13,7629.410441720535,11451.94698596297,14480.695694690052,18799.660176714464,29378.2266513036,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,TLJ,3,2026-04-20,8482.399894672435,12044.30693456418,16039.531228353235,19063.076289403463,29952.84179617008,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,TLJ,4,2026-04-27,8147.555484885976,11335.713188720429,15191.523171916862,20792.416753468766,30714.225374036854,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,TLJ,5,2026-05-04,7469.951744720121,8182.730731313635,12210.289119196988,19539.777652178254,21645.893853479167,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,TLJ,6,2026-05-11,7258.209466305605,7680.970229540913,11552.384403788938,20233.390753169493,22307.124600162148,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,TLJ,7,2026-05-18,8557.562466567444,9811.800459764801,11047.37350245428,13868.366765873894,17130.96990707135,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,TLJ,8,2026-05-25,8025.966424265875,8506.765920571568,11003.506160979641,14424.495060818777,17586.45116205155,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,VHSA,1,2026-04-06,9491.102673821708,10500.244750016802,13211.14273496295,16822.655376879742,18373.92116194628,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,VHSA,2,2026-04-13,7615.731006091696,10765.85381719052,12895.571172796865,17452.162426760886,26119.089131654197,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,VHSA,3,2026-04-20,8189.309345803243,10575.72436286987,14810.985782887903,17674.484273097853,26786.74897532954,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,VHSA,4,2026-04-27,7935.297395788005,9917.629602219693,14542.639655711058,19784.323108834265,28242.650367815786,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,VHSA,5,2026-05-04,5246.9824136990865,8442.763705682706,11102.790533610874,17161.457579352955,26309.399672742904,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,VHSA,6,2026-05-11,5059.694156262306,8194.78007048435,10633.825983676008,17231.545815523103,26676.278769029253,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,VHSA,7,2026-05-18,8089.662649493394,9266.88338165798,10631.33998526438,12612.49446213325,15125.454006039672,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310315,VHSA,8,2026-05-25,7559.094308113459,8123.069962621592,10519.780929792332,13314.473493950209,16223.223561733703,lgbm,2026-03-30,107,final,A-Y,False,False,False
750101310326,CCUL,1,2026-04-06,1452.5179612833647,1654.6122270949984,2026.037969156938,2556.8966534578663,2677.3552328935475,lgbm,2026-03-30,107,final,A-Y,False,False,False
