model,cluster,fold,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
lgbm,A-Y,6,912,0.1151751413391036,0.16897003521299175,0.027992928138972355,0.029149652360988165,0.9320175438596491,0.8223684210526315,0.593453091162619
lgbm,A-Y,7,912,0.11134757986539168,0.14467531500922812,-0.029299288092963092,0.027364939611905986,0.8453947368421053,0.7302631578947368,0.5022962068893616
lgbm,A-Z,0,640,0.2782669101563034,0.9067214578902569,-0.05193500287976727,0.10592981793415472,0.625,0.478125,0.5649924805165464
lgbm,A-Z,1,640,0.48788095068701687,0.9781038061941864,-0.4319707012910185,0.20246361491393192,0.55,0.371875,0.4982253567880254
lgbm,A-Z,2,640,0.3354786836015213,0.49106286755983597,-0.2753152710435904,0.1165339800923522,0.634375,0.5125,0.6335598204275663
lgbm,A-Z,3,640,0.24212524957930795,0.2968231887748377,0.062494804495538084,0.06586414398156797,0.76875,0.625,0.6017800079679686
lgbm,A-Z,4,640,0.28519667739106264,0.2752269047849867,0.134767971595714,0.07180079944343802,0.759375,0.553125,0.6075548640599422
lgbm,A-Z,5,640,0.21779873981430362,0.3903888273951383,-0.12498803625655662,0.07420500388800555,0.715625,0.5828125,0.552001589042896
lgbm,A-Z,6,640,0.16042152177468275,0.32159894251921717,-0.10659546157041,0.03766262577629449,0.8609375,0.7078125,0.6482087855148198
lgbm,A-Z,7,640,0.1488535474405726,0.22063646504694864,-0.10060906082571122,0.03669585290876333,0.7375,0.6046875,0.5216190544209773
lgbm,B-Y,0,256,0.11228181595354038,0.18979488993816818,0.08863828353359197,0.03706233722998198,0.6640625,0.5078125,0.38314618692643304
lgbm,B-Y,1,256,0.08886365301143594,0.14740160882742664,-0.003565990808716887,0.02490222434038901,0.80859375,0.55859375,0.38456030877926806
lgbm,B-Y,2,256,0.10685453847222044,0.15023912108265608,-0.04578929551985843,0.036436258542253144,0.6484375,0.51953125,0.36657889016358036
lgbm,B-Y,3,256,0.07665292997159609,0.12567728960700406,0.011843310225220898,0.020909987037927215,0.8125,0.69921875,0.47237275204684775
lgbm,B-Y,4,256,0.22998803270424634,0.16171941392265915,-0.13485464230191946,0.07694030026838428,0.796875,0.61328125,0.49201328234204933
lgbm,B-Y,5,256,0.27982828089061185,0.18382984767553182,-0.26452663188589076,0.10168574593495872,0.63671875,0.5078125,0.4510790854990771
lgbm,B-Y,6,256,0.12743336792456528,0.14520962569333412,0.018302968998962065,0.03123691371345453,0.83203125,0.67578125,0.5149860988865518
lgbm,B-Y,7,256,0.13434680094979776,0.15215677167458166,-0.0876572513573934,0.03739178275110046,0.71875,0.60546875,0.45335011582448514
lgbm,B-Z,0,704,0.12659130988021272,0.20478198351805818,-0.026576390523377215,0.04355113955919637,0.7258522727272727,0.5383522727272727,0.37705917714533543
lgbm,B-Z,1,704,0.13435444333714466,0.3351187861915834,-0.056487756207263144,0.041626216108300904,0.7130681818181818,0.5227272727272727,0.40671743744259603
lgbm,B-Z,2,704,0.11033804714436579,0.4612283460188603,-0.004932096344062853,0.031155216340222124,0.7130681818181818,0.5752840909090909,0.4528265315657378
lgbm,B-Z,3,704,0.0941883776027902,0.2670204237589072,-0.012073710840675487,0.02403197990642689,0.734375,0.6306818181818182,0.44553061440414865
lgbm,B-Z,4,704,0.12226494000487613,0.45204556457277983,-0.05949881687306083,0.03659407324133414,0.7230113636363636,0.5696022727272727,0.4840995475007198
