model,cluster,h,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
seasonal_naive,B-Y,6,256,0.25891385814282225,0.39338663688299763,0.1434738233012887,0.07154616085923822,0.74609375,0.64453125,0.8201703643424425
seasonal_naive,B-Y,7,256,0.27440720258281026,0.40066628457921677,0.15679923905838952,0.07459240058038168,0.7109375,0.55859375,0.8508354808408001
seasonal_naive,B-Y,8,256,0.2178014337460843,0.36182813420080384,0.1032188442160248,0.058685752093733626,0.71875,0.62109375,0.8448959467938211
seasonal_naive,B-Z,1,710,0.169181130321437,2.8311931175171514,0.06749676512382796,0.04223726903416018,0.8,0.6845070422535211,0.7732769877458943
seasonal_naive,B-Z,2,710,0.16210882462573356,2.962848953895398,0.06452253303966916,0.04164315026660432,0.8,0.6915492957746479,0.7484629076679958
seasonal_naive,B-Z,3,710,0.1603035960260323,2.522011671165637,0.06153602399382134,0.042170148573430884,0.7732394366197183,0.6549295774647887,0.7726174630534192
seasonal_naive,B-Z,4,710,0.1620607523252333,2.4530047001427713,0.04900345595120568,0.04276023329866513,0.7718309859154929,0.6788732394366197,0.7725311578425653
seasonal_naive,B-Z,5,710,0.16534953781310588,2.7975611372175,0.04159123356796318,0.0448901378270211,0.7788732394366197,0.6422535211267606,0.7596356590382107
seasonal_naive,B-Z,6,710,0.1587799108188768,3.1811674598132287,0.03461497712626932,0.04355720185732278,0.7633802816901408,0.6408450704225352,0.7640604568768004
seasonal_naive,B-Z,7,710,0.15876675932326878,2.782969974176586,0.0363065669684355,0.04412374768150028,0.752112676056338,0.6154929577464788,0.7960365832611975
seasonal_naive,B-Z,8,710,0.1638370216930983,2.733206144287985,0.00757004316656184,0.046391684416904895,0.752112676056338,0.6380281690140845,0.7828012544475083
seasonal_naive,C-Z,1,48,0.634338559173334,0.60146898356018,0.615397195511939,0.10924190080880203,0.9791666666666666,0.9583333333333334,1.11765486985484
seasonal_naive,C-Z,2,48,0.5755991207559156,0.5250666908901774,0.5603494739149457,0.09969431859751465,1.0,0.9166666666666666,1.1179691017691344
seasonal_naive,C-Z,3,48,0.6832891600958001,0.5988182551902644,0.6733234305424592,0.11890029625321286,0.9375,0.9166666666666666,1.133263190786804
seasonal_naive,C-Z,4,48,0.8889691429099409,0.8406704960418656,0.8889691429099409,0.15186717158511168,0.9166666666666666,0.8958333333333334,0.9933471783616419
